Ico;Rok;Obdobie od;Obdobie do;Nazov;Odvetvie;SK Nace;Kategória zamestnancov(zo Štatistického úradu);Presný počet zamestnancov(z účtovnej závierky);Mesto;Okres;Kraj;Právna forma – kód;Právna forma;AktivaBrutto-1;AktivaCorr-1;Aktiva-1;AktivaPrev-1;AktivaBrutto-2;AktivaCorr-2;Aktiva-2;AktivaPrev-2;AktivaBrutto-3;AktivaCorr-3;Aktiva-3;AktivaPrev-3;AktivaBrutto-4;AktivaCorr-4;Aktiva-4;AktivaPrev-4;AktivaBrutto-5;AktivaCorr-5;Aktiva-5;AktivaPrev-5;AktivaBrutto-6;AktivaCorr-6;Aktiva-6;AktivaPrev-6;AktivaBrutto-7;AktivaCorr-7;Aktiva-7;AktivaPrev-7;AktivaBrutto-8;AktivaCorr-8;Aktiva-8;AktivaPrev-8;AktivaBrutto-9;AktivaCorr-9;Aktiva-9;AktivaPrev-9;AktivaBrutto-10;AktivaCorr-10;Aktiva-10;AktivaPrev-10;AktivaBrutto-11;AktivaCorr-11;Aktiva-11;AktivaPrev-11;AktivaBrutto-12;AktivaCorr-12;Aktiva-12;AktivaPrev-12;AktivaBrutto-13;AktivaCorr-13;Aktiva-13;AktivaPrev-13;AktivaBrutto-14;AktivaCorr-14;Aktiva-14;AktivaPrev-14;AktivaBrutto-15;AktivaCorr-15;Aktiva-15;AktivaPrev-15;AktivaBrutto-16;AktivaCorr-16;Aktiva-16;AktivaPrev-16;AktivaBrutto-17;AktivaCorr-17;Aktiva-17;AktivaPrev-17;AktivaBrutto-18;AktivaCorr-18;Aktiva-18;AktivaPrev-18;AktivaBrutto-19;AktivaCorr-19;Aktiva-19;AktivaPrev-19;AktivaBrutto-20;AktivaCorr-20;Aktiva-20;AktivaPrev-20;AktivaBrutto-21;AktivaCorr-21;Aktiva-21;AktivaPrev-21;AktivaBrutto-22;AktivaCorr-22;Aktiva-22;AktivaPrev-22;AktivaBrutto-23;AktivaCorr-23;Aktiva-23;AktivaPrev-23;AktivaBrutto-24;AktivaCorr-24;Aktiva-24;AktivaPrev-24;AktivaBrutto-25;AktivaCorr-25;Aktiva-25;AktivaPrev-25;AktivaBrutto-26;AktivaCorr-26;Aktiva-26;AktivaPrev-26;AktivaBrutto-27;AktivaCorr-27;Aktiva-27;AktivaPrev-27;AktivaBrutto-28;AktivaCorr-28;Aktiva-28;AktivaPrev-28;AktivaBrutto-29;AktivaCorr-29;Aktiva-29;AktivaPrev-29;AktivaBrutto-30;AktivaCorr-30;Aktiva-30;AktivaPrev-30;AktivaBrutto-31;AktivaCorr-31;Aktiva-31;AktivaPrev-31;AktivaBrutto-32;AktivaCorr-32;Aktiva-32;AktivaPrev-32;AktivaBrutto-33;AktivaCorr-33;Aktiva-33;AktivaPrev-33;AktivaBrutto-34;AktivaCorr-34;Aktiva-34;AktivaPrev-34;AktivaBrutto-35;AktivaCorr-35;Aktiva-35;AktivaPrev-35;AktivaBrutto-36;AktivaCorr-36;Aktiva-36;AktivaPrev-36;AktivaBrutto-37;AktivaCorr-37;Aktiva-37;AktivaPrev-37;AktivaBrutto-38;AktivaCorr-38;Aktiva-38;AktivaPrev-38;AktivaBrutto-39;AktivaCorr-39;Aktiva-39;AktivaPrev-39;AktivaBrutto-40;AktivaCorr-40;Aktiva-40;AktivaPrev-40;AktivaBrutto-41;AktivaCorr-41;Aktiva-41;AktivaPrev-41;AktivaBrutto-42;AktivaCorr-42;Aktiva-42;AktivaPrev-42;AktivaBrutto-43;AktivaCorr-43;Aktiva-43;AktivaPrev-43;AktivaBrutto-44;AktivaCorr-44;Aktiva-44;AktivaPrev-44;AktivaBrutto-45;AktivaCorr-45;Aktiva-45;AktivaPrev-45;AktivaBrutto-46;AktivaCorr-46;Aktiva-46;AktivaPrev-46;AktivaBrutto-47;AktivaCorr-47;Aktiva-47;AktivaPrev-47;AktivaBrutto-48;AktivaCorr-48;Aktiva-48;AktivaPrev-48;AktivaBrutto-49;AktivaCorr-49;Aktiva-49;AktivaPrev-49;AktivaBrutto-50;AktivaCorr-50;Aktiva-50;AktivaPrev-50;AktivaBrutto-51;AktivaCorr-51;Aktiva-51;AktivaPrev-51;AktivaBrutto-52;AktivaCorr-52;Aktiva-52;AktivaPrev-52;AktivaBrutto-53;AktivaCorr-53;Aktiva-53;AktivaPrev-53;AktivaBrutto-54;AktivaCorr-54;Aktiva-54;AktivaPrev-54;AktivaBrutto-55;AktivaCorr-55;Aktiva-55;AktivaPrev-55;AktivaBrutto-56;AktivaCorr-56;Aktiva-56;AktivaPrev-56;AktivaBrutto-57;AktivaCorr-57;Aktiva-57;AktivaPrev-57;AktivaBrutto-58;AktivaCorr-58;Aktiva-58;AktivaPrev-58;AktivaBrutto-59;AktivaCorr-59;Aktiva-59;AktivaPrev-59;AktivaBrutto-60;AktivaCorr-60;Aktiva-60;AktivaPrev-60;AktivaBrutto-61;AktivaCorr-61;Aktiva-61;AktivaPrev-61;AktivaBrutto-62;AktivaCorr-62;Aktiva-62;AktivaPrev-62;AktivaBrutto-63;AktivaCorr-63;Aktiva-63;AktivaPrev-63;AktivaBrutto-64;AktivaCorr-64;Aktiva-64;AktivaPrev-64;AktivaBrutto-65;AktivaCorr-65;Aktiva-65;AktivaPrev-65;Predchádzajúce obdobie od;Predchádzajúce obdobie do;
35919001;2008;2008-01-01;2008-12-31;"Národná diaľničná spoločnosť, a.s.";"Doprava a logistika";"Vedľajšie činnosti v pozemnej doprave [52210]";2000-2999 zamestnancov;2096;"Bratislava";"Bratislava IV";Bratislavský;121;"Akc. spol.";;;5322734282.67941;5033340436.83197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;52803160.0610768;99895970.2582487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35928000;2008;2008-10-01;2009-09-30;"DIW WHEEL AND TYRE ASSEMBLY, s.r.o.";"Predaj a údržba vozidiel";"Oprava a údržba motorových vozidiel [45200]";nezistený;;"Bratislava";"Bratislava IV";Bratislavský;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35928328;2008;2008-10-01;2009-09-30;"OBJENTIS IT Consulting s.r.o. v likvidácii";"Informačné technológie";"Počítačové programovanie [62010]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;8914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35933534;2008;2008-10-01;2009-09-30;"OBJENTIS IT Consulting & Services k.s. v likvidacii";"Informačné technológie";"Počítačové programovanie [62010]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;113;"Kom. spol.";;;707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35946024;2008;2008-01-01;2008-12-31;"Jadrová a vyraďovacia spoločnosť, a.s.; skrátený názov: JAVYS, a. s.";"Spracovanie odpadov";"Spracúvanie a likvidácia nebezpečného odpadu [38220]";500-999 zamestnancov;;"Jaslovské Bohunice";"Trnava";Trnavský;121;"Akc. spol.";;;1553188044;1483198832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1276326794;1212661820;;;;;;;107707196;78795028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35947446;2008;2008-10-01;2009-09-30;"Covidien ECE s.r.o.";"Veľkoobchod";"Veľkoobchod s farmaceutickým tovarom [46460]";25-49 zamestnancov;;"Bratislava";"Bratislava II";Bratislavský;112;"Spol. s r. o.";;;12325791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35948582;2008;2008-01-01;2008-12-31;"Plasticoncept s.r.o.";"Automobilový priemysel";"Výroba ostatných dielov a príslušenstva pre motorové vozidlá [29320]";25-49 zamestnancov;;"Zavar, pošta Trnava";"Trnava";Trnavský;112;"Spol. s r. o.";2720042.48821616;-397364.4028414;2322678.08537476;2261601.27464648;816703.179977428;-397364.4028414;419338.777136029;554238.863440218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;816703.179977428;-397364.4028414;419338.777136029;554238.863440218;;;;;6705.17161256058;-929.429728473744;5775.74188408684;6107.68107282746;809998.008364868;-396434.973112926;413563.035251942;548131.18236739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1792903.14014473;;1792903.14014473;1573424.94854943;308172.342826794;;308172.342826794;270397.663148111;223727.01321118;;223727.01321118;220009.294297285;27750.1161787161;;27750.1161787161;28745.9337449379;56695.2134368984;;56695.2134368984;21642.4351058886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1455719.312222;;1455719.312222;1295425.87797915;1453362.54398194;;1453362.54398194;1270364.46922924;;;;;;;;;;;;;;;;;;;;;2223.99256456217;;2223.99256456217;15236.0087631946;132.775675496249;;132.775675496249;9825.39998672243;29011.4850959304;;29011.4850959304;7601.40742216026;1394.14459271062;;1394.14459271062;1659.69594370311;27617.3405032198;;27617.3405032198;5941.71147845715;;;;;;;;;;;;;110436.168094005;;110436.168094005;133937.462656841;110436.168094005;;110436.168094005;133937.462656841;;;;;;;;;;;;;;;
35950226;2008;2008-04-01;2009-03-31;"Allegro Slovakia s. r. o.";"Maloobchod";"Zásielkový predaj alebo predaj cez internet [47910]";25-49 zamestnancov;;"Bratislava - mestská časť Ružinov";"Bratislava II";Bratislavský;112;"Spol. s r. o.";1202699;39094;1163606;1300728;87485;39094;48391;23700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87485;39094;48391;23700;;;;;;;;;85601;39094;46507;23700;;;;;;;;;;;;;1884;;1884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1099657;;1099657;1213116;751609;;751609;531776;;;;;;;;;;;;;;;;;751609;;751609;531776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94177;;94177;121754;;;;;;;;;34336;;34336;;5759;;5759;2746;34837;;34837;37918;25930;;25930;2968;8907;;8907;34950;;;;;;;;;;;;;15558;;15558;63912;;;;;8587;;8587;12992;;;;;6971;;6971;50920;;;
35952512;2008;2008-11-01;2009-10-31;"Volt Europe Slovakia s.r.o.";"Vývoj a testovanie";"Ostatné odborné, vedecké a technické činnosti i. n. [74900]";nezistený;;"Bratislava - mestská časť Ružinov";"Bratislava II";Bratislavský;112;"Spol. s r. o.";;;572660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35952784;2008;2008-01-01;2008-12-31;"Prologis Slovak Republic XV (P) s.r.o.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";nezistený;;"Senec";"Senec";Bratislavský;112;"Spol. s r. o.";33193354.5774414;;33193354.5774414;31928168.3595565;17677421.4963819;;17677421.4963819;30358095.9968134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12097888.8667596;;12097888.8667596;15658733.3200558;2657936.66600279;;2657936.66600279;4077076.27962557;9439952.20075682;;9439952.20075682;8923720.3744274;;;;;;;;;;;;;;;;;;;;2657936.66600279;;;;;;;;;5579532.62962225;;5579532.62962225;14699362.6767576;5579532.62962225;;5579532.62962225;;;;;;;;;;;;;14699362.6767576;;;;;;;;;;;;;;;;;15363373.8299144;;15363373.8299144;1528447.18847507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15122286.397132;;15122286.397132;;;;;;;;;;15122286.397132;;15122286.397132;;;;;;;;;;;;;;;;;;237170.550355175;;237170.550355175;552380.00398327;237170.550355175;;237170.550355175;177355.108544115;;;;;;;;;;;;;;;;;;;;;;;;375024.895439156;;;;;3916.88242713935;;3916.88242713935;976067.184491801;;;;;3916.88242713935;;3916.88242713935;976067.184491801;;;;;;;;;;;;;152559.25114519;;152559.25114519;41625.1742680741;152559.25114519;;152559.25114519;41625.1742680741;;;;;;;;;;;;;;;
35961252;2008;2008-10-01;2009-09-30;"ADVANCED SYSTEMS OF PROTECTION SLOVAKIA, s. r. o., v likvidácii";"Chémia a plasty";"Výroba ostatných výrobkov z gumy [22190]";1 zamestnanec;1;"Zvolen";"Zvolen";Banskobystrický;112;"Spol. s r. o.";;;42484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35964090;2008;2008-12-01;2009-11-30;"LUTZ Technologies s.r.o.";"Právo, poradenstvo a účtovníctvo";"Poradenské služby v oblasti podnikania a riadenia [70220]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;137132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35965274;2008;2008-11-01;2009-10-31;"MARK PLUS, s.r.o.";"Právo, poradenstvo a účtovníctvo";"Účtovnícke a audítorské činnosti, vedenie účtovných kníh; daňové poradenstvo [69200]";1 zamestnanec;;"Štúrovo";"Nové Zámky";Nitriansky;112;"Spol. s r. o.";;;14532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35967889;2008;2008-12-01;2009-11-30;"Voxtronic International, s.r.o.";"Informačné technológie";"Počítačové programovanie [62010]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;32535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35968028;2008;2008-12-01;2009-11-30;"Voxtronic Central Europe, k.s.";"Informačné technológie";"Počítačové programovanie [62010]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;113;"Kom. spol.";;;436849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35969636;2008;2008-08-01;2009-07-31;"ROBOZEKK a.s.";"Vývoj a testovanie";"Ostatné odborné, vedecké a technické činnosti i. n. [74900]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;2416596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35971126;2008;2008-01-01;2008-12-31;"Národný ústav srdcových a cievnych chorôb, a.s.";"Zdravotníctvo";"Činnosti nemocníc [86100]";1000-1999 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;90590356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111345;;;;;;;;13078144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35971479;2008;2008-10-01;2009-09-30;"SWP s.r.o. 'v likvidácii'";"Projektovanie a inžiniering";"Ostatné inžinierske činnosti a súvisiace technické poradenstvo [71129]";0 zamestnancov;0;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35979941;2008;2008-01-01;2008-12-31;"MH Development s.r.o.";"Služby";"Ostatné pomocné obchodné činnosti i. n. [82990]";5-9 zamestnancov;7;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;39762232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142070;;;;;;;;4921297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36007099;2008;2008-01-01;2008-12-31;"Dopravný podnik mesta Žiliny s.r.o.";"Doprava a logistika";"Mestská alebo prímestská osobná pozemná doprava [49310]";250-499 zamestnancov;;"Žilina";"Žilina";Žilinský;112;"Spol. s r. o.";;;8443416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9699;;;;;;;;309503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36009393;2008;2008-12-01;2009-11-30;"Stokvis Promi Slovakia s.r.o., v likvidácii";"Veľkoobchod";"Nešpecializovaný veľkoobchod [46900]";2 zamestnanci;;"Banská Bystrica";"Banská Bystrica";Banskobystrický;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36019798;2008;2008-10-01;2009-09-30;"Kremnica GOLD, s.r.o.";"Projektovanie a inžiniering";"Ostatné inžinierske činnosti a súvisiace technické poradenstvo [71129]";5-9 zamestnancov;5;"Kremnica";"Žiar nad Hronom";Banskobystrický;112;"Spol. s r. o.";;;9696272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36022047;2008;2008-01-01;2008-12-31;"SLOVENSKÝ VODOHOSPODÁRSKY PODNIK,  štátny podnik";"Energie a ťažba";"Zber, úprava a dodávka ostatnej vody [36009]";2000-2999 zamestnancov;;"Bratislava - mestská časť Karlova Ves";"Bratislava IV";Bratislavský;301;"Štátny podnik";;;1213091359;1171287891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;13901201;12508531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36030538;2008;2008-01-01;2008-12-31;"THORMA Výroba s.r.o.";"Elektrotechnika";"Výroba neelektrických zariadení pre domácnosti [27520]";150-199 zamestnancov;;"Fiľakovo";"Lučenec";Banskobystrický;112;"Spol. s r. o.";;;12591826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9717838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1103114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36034304;2008;2008-10-01;2009-09-30;"AVISON, s.r.o.";"Právo, poradenstvo a účtovníctvo";"Účtovnícke a audítorské činnosti, vedenie účtovných kníh; daňové poradenstvo [69200]";2 zamestnanci;;"Banská Bystrica";"Banská Bystrica";Banskobystrický;112;"Spol. s r. o.";;;8702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36038351;2008;2008-01-01;2008-12-31;"LESY Slovenskej republiky, štátny podnik";"Poľnohospodárstvo a lesníctvo";"Lesné hospodárstvo [02100]";3000-3999 zamestnancov;;"Banská Bystrica";"Banská Bystrica";Banskobystrický;301;"Štátny podnik";;;1508044480;1495727179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5446658;;;;;;;;7783754;7525294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
